Year ,Age ,PTL_active ,PTL_TTL_active ,PTL_annuitant ,PTL_TTL_annuitant ,PTL_GRAND_TTL 
X2014 , 1 , 0 , 0 , 0 , 0 , 0 
X2014 , 2 , 0 , 0 , 0 , 0 , 0 
X2014 , 3 , 0 , 0 , 0 , 0 , 0 
X2014 , 4 , 0 , 0 , 0 , 0 , 0 
X2014 , 5 , 0 , 0 , 0 , 0 , 0 
X2014 , 6 , 0 , 0 , 0 , 0 , 0 
X2014 , 7 , 0 , 0 , 0 , 0 , 0 
X2014 , 8 , 0 , 0 , 0 , 0 , 0 
X2014 , 9 , 0 , 0 , 0 , 0 , 0 
X2014 , 10 , 0 , 0 , 0 , 0 , 0 
X2014 , 11 , 0 , 0 , 0 , 0 , 0 
X2014 , 12 , 0 , 0 , 0 , 0 , 0 
X2014 , 13 , 0 , 0 , 0 , 0 , 0 
X2014 , 14 , 0 , 0 , 0 , 0 , 0 
X2014 , 15 , 0 , 0 , 0 , 0 , 0 
X2014 , 16 , 0 , 0 , 0 , 0 , 0 
X2014 , 17 , 0 , 0 , 0 , 0 , 0 
X2014 , 18 , 0 , 0 , 0 , 0 , 0 
X2014 , 19 , 0 , 0 , 0 , 0 , 0 
X2014 , 20 , 196965913.536 , 196965913.536 , 0 , 0 , 196965913.536 
X2014 , 21 , 196965913.536 , 393931827.072 , 0 , 0 , 393931827.072 
X2014 , 22 , 196965913.536 , 590897740.608 , 0 , 0 , 590897740.608 
X2014 , 23 , 196965913.536 , 787863654.144 , 0 , 0 , 787863654.144 
X2014 , 24 , 196965913.536 , 984829567.68 , 0 , 0 , 984829567.68 
X2014 , 25 , 688553109.504 , 1673382677.184 , 0 , 0 , 1673382677.184 
X2014 , 26 , 688553109.504 , 2361935786.688 , 0 , 0 , 2361935786.688 
X2014 , 27 , 688553109.504 , 3050488896.192 , 0 , 0 , 3050488896.192 
X2014 , 28 , 688553109.504 , 3739042005.696 , 0 , 0 , 3739042005.696 
X2014 , 29 , 688553109.504 , 4427595115.2 , 0 , 0 , 4427595115.2 
X2014 , 30 , 1743727646.304 , 6171322761.504 , 0 , 0 , 6171322761.504 
X2014 , 31 , 1743727646.304 , 7915050407.808 , 0 , 0 , 7915050407.808 
X2014 , 32 , 1743727646.304 , 9658778054.112 , 0 , 0 , 9658778054.112 
X2014 , 33 , 1743727646.304 , 11402505700.416 , 0 , 0 , 11402505700.416 
X2014 , 34 , 1743727646.304 , 13146233346.72 , 0 , 0 , 13146233346.72 
X2014 , 35 , 3553386459.744 , 16699619806.464 , 0 , 0 , 16699619806.464 
X2014 , 36 , 3553386459.744 , 20253006266.208 , 0 , 0 , 20253006266.208 
X2014 , 37 , 3553386459.744 , 23806392725.952 , 0 , 0 , 23806392725.952 
X2014 , 38 , 3553386459.744 , 27359779185.696 , 0 , 0 , 27359779185.696 
X2014 , 39 , 3553386459.744 , 30913165645.44 , 0 , 0 , 30913165645.44 
X2014 , 40 , 6329943770.304 , 37243109415.744 , 0 , 0 , 37243109415.744 
X2014 , 41 , 6329943770.304 , 43573053186.048 , 0 , 0 , 43573053186.048 
X2014 , 42 , 6329943770.304 , 49902996956.352 , 0 , 0 , 49902996956.352 
X2014 , 43 , 6326081693.568 , 56229078649.92 , 0 , 0 , 56229078649.92 
X2014 , 44 , 6326081693.568 , 62555160343.488 , 0 , 0 , 62555160343.488 
X2014 , 45 , 9811881810.432 , 72367042153.92 , 0 , 0 , 72367042153.92 
X2014 , 46 , 9811881810.432 , 82178923964.352 , 0 , 0 , 82178923964.352 
X2014 , 47 , 9811881810.432 , 91990805774.784 , 0 , 0 , 91990805774.784 
X2014 , 48 , 9811881810.432 , 101802687585.216 , 0 , 0 , 101802687585.216 
X2014 , 49 , 9811881810.432 , 111614569395.648 , 0 , 0 , 111614569395.648 
X2014 , 50 , 11828989317.12 , 123443558712.768 , 220547250 , 441094500 , 123884653212.768 
X2014 , 51 , 11828989317.12 , 135272548029.888 , 583224950 , 1166449900 , 136880092429.888 
X2014 , 52 , 11828989317.12 , 147101537347.008 , 566071275 , 1132142550 , 149841224297.008 
X2014 , 53 , 11828989317.12 , 158930526664.128 , 548917600 , 1097835200 , 162768048814.128 
X2014 , 54 , 11828989317.12 , 170759515981.248 , 531763925 , 1063527850 , 175660565981.248 
X2014 , 55 , 9953123473.92 , 180712639455.168 , 514610250 , 1029220500 , 186642909955.168 
X2014 , 56 , 9953123473.92 , 190665762929.088 , 1143504075 , 2287008150 , 198883041579.088 
X2014 , 57 , 9953123473.92 , 200618886403.008 , 1104072900 , 2208145800 , 211044310853.008 
X2014 , 58 , 9953123473.92 , 210572009876.928 , 1064641725 , 2129283450 , 223126717776.928 
X2014 , 59 , 9953123473.92 , 220525133350.848 , 1025210550 , 2050421100 , 235130262350.848 
X2014 , 60 , 6571047703.68 , 227096181054.528 , 985779375 , 1971558750 , 243672868804.528 
X2014 , 61 , 6571047703.68 , 233667228758.208 , 1760559000 , 3521118000 , 253765034508.208 
X2014 , 62 , 6571047703.68 , 240238276461.888 , 1687202375 , 3374404750 , 263710486961.888 
X2014 , 63 , 6571047703.68 , 246809324165.568 , 1613845750 , 3227691500 , 273509226165.568 
X2014 , 64 , 6571047703.68 , 253380371869.248 , 1540489125 , 3080978250 , 283161252119.248 
X2014 , 65 , 2174900927.616 , 255555272796.864 , 1467132500 , 2934265000 , 288270418046.864 
X2014 , 66 , 2174900927.616 , 257730173724.48 , 1356890700 , 2713781400 , 293159100374.48 
X2014 , 67 , 2174900927.616 , 259905074652.096 , 1285475400 , 2570950800 , 297904952102.096 
X2014 , 68 , 2174900927.616 , 262079975579.712 , 1214060100 , 2428120200 , 302507973229.712 
X2014 , 69 , 2174900927.616 , 264254876507.328 , 1142644800 , 2285289600 , 306968163757.328 
X2014 , 70 , 811036114.56 , 265065912621.888 , 1071229500 , 2142459000 , 309921658871.888 
X2014 , 71 , 811036114.56 , 265876948736.448 , 670998300 , 1341996600 , 312074691586.448 
