AGE,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115
0,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
1,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
2,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
3,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
4,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
5,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
6,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
7,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
8,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
9,31825,32780,33763,34776,35819,36894,38001,39141,40315,41524,42770,44053,45375,46736,48138,49582,51070,52602,54180,55805,57479,59204,60980,62809,64694,66634,68634,70693,72813,74998,77248,79565,81952,84411,86943,89551,92238,95005,97855,100791,103814,106929,110137,113441,116844,120349,123960,127679,131509,135454,139518,143703,148014,152455,157029,161739,166592,171589,176737,182039,187500,193125,198919,204887,211033,217364,223885,230602,237520,244645,251985,259544,267331,275350,283611,292119,300883,309909,319207,328783,338646,348806,359270,370048,381149,392584,404361,416492,428987,441857,455112,468766,482829,497314,512233,527600,543428,559731,576523,593818,611633,629982
