Age,Count,Avg Benefits,Avg Years of Service,Pct Male,Pct T1
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,3,40888.76,12.61,0.6666666666666666,1.0
56,2,77016.84,21.0,1.0,1.0
57,4,40288.83,12.5,0.75,1.0
58,5,40669.464,13.7,1.0,1.0
59,7,60384.102857142854,14.785714285714286,0.7142857142857143,1.0
60,3,44563.44,12.223333333333334,0.3333333333333333,1.0
61,9,42178.58666666666,12.305555555555555,0.8888888888888888,1.0
62,11,50867.42181818181,13.068181818181818,0.8181818181818182,1.0
63,5,61045.368,15.4,1.0,1.0
64,12,62804.51000000001,14.67416666666667,0.9166666666666666,1.0
65,9,87006.62666666665,18.175555555555555,0.7777777777777778,1.0
66,12,58074.369999999995,13.541666666666666,0.75,1.0
67,13,51640.984615384616,14.17846153846154,0.8461538461538461,1.0
68,17,66024.6,14.682352941176468,0.7058823529411765,1.0
69,11,64643.57454545454,12.772727272727273,0.8181818181818182,1.0
70,16,61196.8125,14.3075,0.625,1.0
71,13,57457.08923076924,14.833846153846155,0.8461538461538461,1.0
72,21,65261.33714285715,15.540000000000001,0.8571428571428571,1.0
73,15,71191.264,15.655333333333335,0.6666666666666666,1.0
74,7,44229.377142857134,12.73857142857143,0.7142857142857143,1.0
75,10,54709.043999999994,11.940999999999999,0.6,1.0
76,8,27850.83,9.5525,0.75,1.0
77,11,74986.74545454545,16.432727272727274,0.7272727272727273,1.0
78,9,66915.96,18.731111111111108,0.6666666666666666,1.0
79,11,79155.71999999999,18.636363636363637,0.9090909090909091,1.0
80,5,93530.976,17.216,1.0,1.0
81,3,56119.920000000006,14.36,1.0,1.0
82,6,55373.340000000004,15.665,0.8333333333333334,1.0
83,3,43480.119999999995,14.776666666666666,1.0,1.0
84,11,48008.48727272726,12.642727272727273,0.7272727272727273,1.0
85,4,65048.43,16.02,0.75,1.0
86,4,41137.65,15.5425,0.75,1.0
87,7,46490.125714285714,13.73857142857143,1.0,1.0
88,0,0,0,0,0
89,6,37183.82,15.986666666666666,0.6666666666666666,1.0
90,4,32858.159999999996,10.75,0.75,1.0
91,6,53693.56,18.32,1.0,1.0
92,2,1666.08,6.0,1.0,1.0
93,0,0,0,0,0
94,1,32866.08,16.0,1.0,1.0
95,0,0,0,0,0
96,1,64654.92,18.17,1.0,1.0
97,0,0,0,0,0
98,0,0,0,0,0
99,2,16907.46,15.625,0.5,1.0
100,1,47462.64,10.0,1.0,1.0
