Age,Count,Avg Contributions,Avg Years of Service,Pct Male,Pct T1,Avg Benefits
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,1,28299.23,4,1,1,7382.407826
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,1,79063.56,12,0,1,25781.59565
39,1,61110.22,4.08,1,1,15629.21228
40,0,0,0,0,0,0
41,1,18165.43,2.42,1,1,3916.370104
42,2,35065.24,4.54,0,0.5,9221.363852
43,2,64496.93,9.21,0.5,1,19157.83044
44,0,0,0,0,0,0
45,1,32404.67,4,1,1,8453.392174
46,3,89433.25333,8.22,0.666666667,1,27144.66112
47,2,52607.385,6.585,1,1,14589.75986
48,1,88242.01,11.42,1,1,27212.37649
49,5,100240.184,12.666,0.8,1,33470.93743
50,3,42056.6,6.36,0.666666667,1,11913.73163
51,6,132477.9067,11.305,0.833333333,0.833333333,44144.49476
52,4,58020.5125,8.6475,0.75,1,17690.65045
53,6,71051.62667,10.335,0.666666667,1,21692.42736
54,8,72433.62375,7.59375,0.875,0.75,23313.08197
55,4,59308.065,9.0425,0.5,0.75,18574.19944
56,0,0,0,0,0,0
57,2,41687.96,6.665,0.5,1,11541.69495
58,2,61590.2,7.205,1,1,18387.7637
59,6,40440.86667,5.75,0.5,1,11327.42053
60,1,6626.16,1,0,1,1728.563478
61,4,25154.805,3.5425,0.75,0.75,6376.741967
62,0,0,0,0,0,0
63,1,683.5,0.17,1,1,15732.73657
64,3,45999.88333,6,0,1,14069.81522
65,1,31899.72,4.25,1,0,6102.55513
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,2,26251.2,5.705,1,1,17842.13487
69,0,0,0,0,0,0
70,1,16216.68,2.17,1,1,3899.021439
71,2,29818.205,11.04,0.5,1,9613.083655
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,1,8785.14,4,1,1,2291.775652
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
