Age,Count,Avg Benefits,Avg Years of Service,Pct Male,Pct T1
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,1,13390.800000000001,20.0,1.0,1.0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,1,33211.2,10.0,1.0,1.0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,1,14069.400000000001,8.0,0.0,1.0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,2,30659.64,12.375,0.0,1.0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,1,4981.799999999999,2.0,0.0,1.0
60,0,0,0,0,0
61,1,72565.68000000001,26.0,0.0,1.0
62,2,37376.94,17.54,0.0,1.0
63,0,0,0,0,0
64,1,10108.08,6.0,0.0,1.0
65,1,25125.96,8.0,0.0,1.0
66,4,39704.280000000006,14.52,0.0,1.0
67,1,16614.239999999998,11.75,0.0,1.0
68,3,31298.559999999998,13.61,0.3333333333333333,1.0
69,1,9465.960000000001,0.0,0.0,1.0
70,3,90421.96,23.776666666666667,0.0,1.0
71,2,20464.440000000002,11.54,0.0,1.0
72,3,55115.6,13.556666666666667,0.0,1.0
73,2,40296.17999999999,16.75,0.0,1.0
74,1,3851.3999999999996,6.0,0.0,1.0
75,4,43831.23,15.4575,0.0,1.0
76,1,72273.6,24.0,0.0,1.0
77,4,39499.17,16.375,0.0,1.0
78,4,37851.75,15.0,0.0,1.0
79,2,19612.380000000005,11.54,0.0,1.0
80,7,40749.08571428571,19.927142857142858,0.0,1.0
81,0,0,0,0,0
82,3,31862.48,14.666666666666666,0.0,1.0
83,7,33236.52,12.762857142857143,0.14285714285714285,1.0
84,3,28692.64,12.943333333333333,0.0,1.0
85,6,22552.34,13.193333333333333,0.0,1.0
86,4,23355.119999999995,14.5,0.0,1.0
87,9,33857.186666666676,15.925555555555555,0.1111111111111111,1.0
88,2,12152.039999999999,8.915,0.0,1.0
89,4,30737.519999999997,10.52,0.0,1.0
90,9,25054.53333333334,12.88888888888889,0.0,1.0
91,3,15763.88,11.333333333333334,0.0,1.0
92,1,12589.079999999998,8.0,0.0,1.0
93,1,36633.479999999996,20.0,0.0,1.0
94,2,30055.920000000002,21.415,0.0,1.0
95,3,16078.199999999999,11.14,0.0,1.0
96,0,0,0,0,0
97,4,25638.780000000002,15.6675,0.0,1.0
98,1,8767.56,6.0,0.0,1.0
99,0,0,0,0,0
100,0,0,0,0,0
