,2014
Participants Contributions,1502605
Employer Contributions,13956669
Total Contributions,15459274
Net Appreciation of Fair Value Investments,6988375
Interest and Dividends,1517141
Investment Expenses,-153577
Net Income From Investing other than lending,8351939
Net Lending Income,11489
Net Investment Income,8363428
Total Additoins,23822702
Retirement Annuity Deduction,17218504
Survivors Annuity Deduction,3581998
Total Benefit Deductions,20800502
Refunds of Contributions,245133
Administrative Expenses,334628
Total Deductions,21380263
Net Increase,2442439
Beginning of Year Net position,54347021
End of Year Net Position,56789460
